Date,Survey,Reef,Site,R_site_code,Drop ,Depth,Lat,Long,Habitat,Aspect,Benthic_Complexity
6/02/2021,Feb_21,Saumarez,Saumarez N,Saumarez_S1,1,33,21.71056,153.77492,channel,,
6/02/2021,Feb_21,Saumarez,Saumarez N,Saumarez_S1,2,34,21.70951,153.78659,channel,,
6/02/2021,Feb_21,Saumarez,Saumarez N,Saumarez_S1,3,36,21.71169,153.79146,channel,,
6/02/2021,Feb_21,Saumarez,Saumarez N,Saumarez_S1,4,42,21.70722,153.79404,outer_reef,,
6/02/2021,Feb_21,Saumarez,Saumarez N,Saumarez_S1,5,43,21.70221,153.79343,outer_reef,,
6/02/2021,Feb_21,Saumarez,Saumarez N,Saumarez_S1,6,41,21.69481,153.79315,outer_reef,,
7/02/2021,Feb_21,Wreck,Wreck W,Wreck_W1,1,31,22.1947,155.17107,outer_reef,,
7/02/2021,Feb_21,Wreck,Wreck W,Wreck_W1,2,42,22.1947,155.17445,outer_reef,,
7/02/2021,Feb_21,Wreck,Wreck W,Wreck_W1,3,44,22.19887,155.1788,outer_reef,,
7/02/2021,Feb_21,Wreck,Wreck W,Wreck_W1,4,53,22.20184,155.18338,outer_reef,,
7/02/2021,Feb_21,Wreck,Wreck W,Wreck_W1,5,65,22.20593,155.18561,outer_reef,,
8/02/2021,Feb_21,Kenn,Kenn,Kenn_1,1,35,21.27237,155.74365,outer_reef,,
8/02/2021,Feb_21,Kenn,Kenn,Kenn_1,2,42,21.27637,155.74823,outer_reef,,
8/02/2021,Feb_21,Kenn,Kenn,Kenn_1,3,45,21.27183,155.757,outer_reef,,
8/02/2021,Feb_21,Kenn,Kenn,Kenn_1,4,58,21.27183,155.76285,outer_reef,,
8/02/2021,Feb_21,Kenn,Kenn,Kenn_1,5,72,21.26985,155.76854,outer_reef,,
10/02/2021,Feb_21,Marion,Marion,Marion_1,1,37,19.29007,152.244,inner_reef,,
10/02/2021,Feb_21,Marion,Marion,Marion_1,2,40,19.28636,152.24492,inner_reef,,
10/02/2021,Feb_21,Marion,Marion,Marion_1,3,42,19.28318,152.24706,inner_reef,,
10/02/2021,Feb_21,Marion,Marion,Marion_1,4,45,19.27903,152.2475,inner_reef,,
10/02/2021,Feb_21,Marion,Marion,Marion_1,5,46,19.27534,152.24898,inner_reef,,
11/02/2021,Feb_21,Lihou,Lihou S,Lihou_S1,1,36,17.5897,151.49577,inner_reef,,
11/02/2021,Feb_21,Lihou,Lihou S,Lihou_S1,2,48,17.58572,151.49675,inner_reef,,
11/02/2021,Feb_21,Lihou,Lihou S,Lihou_S1,3,55,17.58168,151.49628,inner_reef,,
11/02/2021,Feb_21,Lihou,Lihou S,Lihou_S1,4,61,17.57768,151.49419,inner_reef,,
11/02/2021,Feb_21,Lihou,Lihou S,Lihou_S1,5,61,17.57343,151.49193,inner_reef,,
12/02/2021,Feb_21,Lihou,Lihou N,Lihou_N1,1,36,17.12473,151.82178,outer_reef,,
12/02/2021,Feb_21,Lihou,Lihou N,Lihou_N1,2,45,17.12065,151.82674,outer_reef,,
12/02/2021,Feb_21,Lihou,Lihou N,Lihou_N1,3,71,17.1185,151.82886,outer_reef,,
12/02/2021,Feb_21,Lihou,Lihou N,Lihou_N1,4,42,17.11745,151.82985,outer_reef,,
12/02/2021,Feb_21,Lihou,Lihou N,Lihou_N1,5,51,17.11565,151.8334,outer_reef,,
12/02/2021,Feb_21,Lihou,Lihou N,Lihou_N1,6,42,17.11478,151.83736,outer_reef,,
13/02/2021,Feb_21,Chilcott,Chilcott,Chilcott_1,1,35,16.91878,150.02017,outer_reef,,
13/02/2021,Feb_21,Chilcott,Chilcott,Chilcott_1,2,44,16.92383,150.02223,outer_reef,,
13/02/2021,Feb_21,Chilcott,Chilcott,Chilcott_1,3,50,16.92783,150.02371,outer_reef,,
13/02/2021,Feb_21,Chilcott,Chilcott,Chilcott_1,4,49,16.9336,150.02206,outer_reef,,
13/02/2021,Feb_21,Chilcott,Chilcott,Chilcott_1,5,34,16.93662,150.01894,outer_reef,,
14/02/2021,Feb_21,Willis,Willis,Willis_1,1,34,16.32439,149.95982,outer_reef,,
14/02/2021,Feb_21,Willis,Willis,Willis_1,2,45,16.32254,149.96458,outer_reef,,
14/02/2021,Feb_21,Willis,Willis,Willis_1,3,51,16.31899,149.96786,outer_reef,,
14/02/2021,Feb_21,Willis,Willis,Willis_1,4,62,16.31463,149.9715,outer_reef,,
14/02/2021,Feb_21,Willis,Willis,Willis_1,5,51,16.31134,149.97411,outer_reef,,
15/02/2021,Feb_21,Herald,Herald,Herald_1,1,42,16.97241,149.16846,outer_reef,,
15/02/2021,Feb_21,Herald,Herald,Herald_1,2,52,16.97632,149.16705,outer_reef,,
15/02/2021,Feb_21,Herald,Herald,Herald_1,3,71,16.98023,149.16542,outer_reef,,
15/02/2021,Feb_21,Herald,Herald,Herald_1,4,81,16.98371,149.16243,outer_reef,,
15/02/2021,Feb_21,Herald,Herald,Herald_1,5,35,16.98438,149.15776,outer_reef,,
16/02/2021,Feb_21,Flinders,S.Flinders,Flinders_S1,1,43,17.85819,148.46507,inner_reef,,
16/02/2021,Feb_21,Flinders,S.Flinders,Flinders_S1,2,36,17.85144,148.46072,inner_reef,,
16/02/2021,Feb_21,Flinders,S.Flinders,Flinders_S1,3,47,17.84801,148.46326,inner_reef,,
16/02/2021,Feb_21,Flinders,S.Flinders,Flinders_S1,4,57,17.84516,148.46568,inner_reef,,
16/02/2021,Feb_21,Flinders,S.Flinders,Flinders_S1,5,36,17.84639,148.45657,inner_reef,,
17/02/2021,Feb_21,Flinders,S.Flinders,Flinders_S1,1,35,17.85714,148.46553,lagoon,,
17/02/2021,Feb_21,Flinders,S.Flinders,Flinders_S1,2,44,17.85253,148.46683,lagoon,,
17/02/2021,Feb_21,Flinders,S.Flinders,Flinders_S1,3,55,17.84878,148.46719,lagoon,,
17/02/2021,Feb_21,Flinders,S.Flinders,Flinders_S1,4,57,17.84619,148.46918,lagoon,,
17/02/2021,Feb_21,Flinders,S.Flinders,Flinders_S1,5,59,17.84355,148.46304,lagoon,,
18/02/2021,Feb_21,Flinders,N.Flinders,Flinders_N1,1,61,17.71664,148.43535,outer_reef,,
18/02/2021,Feb_21,Flinders,N.Flinders,Flinders_N1,2,35,17.71311,148.43549,channel,,
18/02/2021,Feb_21,Flinders,N.Flinders,Flinders_N1,3,42,17.71016,148.43741,lagoon,,
18/02/2021,Feb_21,Flinders,N.Flinders,Flinders_N1,4,42,17.70688,148.43895,lagoon,,
18/02/2021,Feb_21,Flinders,N.Flinders,Flinders_N1,5,51,17.70397,148.44157,lagoon,,
19/02/2021,Feb_21,Holmes,Holmes,Holmes_1,1,35,16.52482,147.8434,outer_reef,,
19/02/2021,Feb_21,Holmes,Holmes,Holmes_1,2,45,16.5206,147.8407,channel,,
19/02/2021,Feb_21,Holmes,Holmes,Holmes_1,3,85,16.51744,147.84285,channel,,
19/02/2021,Feb_21,Holmes,Holmes,Holmes_1,4,45,16.51584,147.84613,outer_reef,,
19/02/2021,Feb_21,Holmes,Holmes,Holmes_1,5,51,16.51447,147.83943,outer_reef,,
19/02/2021,Feb_21,Holmes,Holmes,Holmes_1,6,85,16.51866,147.83929,inner_reef,,
19/02/2021,Feb_21,Holmes,Holmes,Holmes_1,7,85,16.51692,147.84323,outer_reef,,
1/11/2021,Oct_21,Ashmore,Ashmore_1,Ashmore_1,1,38,10.37422,144.51848,lagoon,,
1/11/2021,Oct_21,Ashmore,Ashmore_1,Ashmore_1,2,46,10.36952,144.51604,lagoon,,
1/11/2021,Oct_21,Ashmore,Ashmore_1,Ashmore_1,3,42,10.36772,144.51993,lagoon,,
1/11/2021,Oct_21,Ashmore,Ashmore_1,Ashmore_1,4,28,10.37157,144.5317,lagoon,,
1/11/2021,Oct_21,Ashmore,Ashmore_1,Ashmore_1,5,32,10.36619,144.53278,lagoon,,
2/11/2021,Oct_21,Ashmore,Ashmore_2,Ashmore_2,6,28,10.22157,144.59161,lagoon,,
2/11/2021,Oct_21,Ashmore,Ashmore_2,Ashmore_2,7,30,10.2158,144.59137,lagoon,,
2/11/2021,Oct_21,Ashmore,Ashmore_2,Ashmore_2,8,38,10.21887,144.58713,lagoon,,
2/11/2021,Oct_21,Ashmore,Ashmore_2,Ashmore_2,9,37,10.22268,144.58618,lagoon,,
2/11/2021,Oct_21,Ashmore,Ashmore_2,Ashmore_2,10,27,10.22612,144.58854,lagoon,,
3/11/2021,Oct_21,Ashmore,Ashmore_3,Ashmore_3,11,32,10.22652,144.58734,lagoon,,
3/11/2021,Oct_21,Ashmore,Ashmore_3,Ashmore_3,12,30,10.23024,144.58448,lagoon,,
3/11/2021,Oct_21,Ashmore,Ashmore_3,Ashmore_3,13,42,10.22483,144.58263,lagoon,,
3/11/2021,Oct_21,Ashmore,Ashmore_3,Ashmore_3,14,45,10.22008,144.58404,lagoon,,
3/11/2021,Oct_21,Ashmore,Ashmore_3,Ashmore_3,15,35,10.22067,144.58865,lagoon,,
4/11/2021,Oct_21,Ashmore,Ashmore_4,Ashmore_4,16,32,10.24494,144.56874,lagoon,,
4/11/2021,Oct_21,Ashmore,Ashmore_4,Ashmore_4,17,38,10.24807,144.56555,lagoon,,
4/11/2021,Oct_21,Ashmore,Ashmore_4,Ashmore_4,18,33,10.25158,144.56206,lagoon,,
5/11/2021,Oct_21,Ashmore,Ashmore_5,Ashmore_5,19,26,10.43326,144.45274,lagoon,,
5/11/2021,Oct_21,Ashmore,Ashmore_5,Ashmore_5,20,23,10.43713,144.45079,lagoon,,
5/11/2021,Oct_21,Ashmore,Ashmore_5,Ashmore_5,21,17,10.44145,144.44846,lagoon,,
5/11/2021,Oct_21,Ashmore,Ashmore_5,Ashmore_5,22,25,10.43722,144.44542,lagoon,,
5/11/2021,Oct_21,Ashmore,Ashmore_5,Ashmore_5,23,30,10.43188,144.44731,lagoon,,
