"filename","Reef","Site","Drop","Count_type","Survey","Filename","Frame","Time (mins)","Period","Period time (mins)","OpCode","TapeReader","Depth","Family","Genus","Species","Code","MaxN","Has fed","Image row","Image col","Width","Height","Number","Stage","Activity","Comment","Transect"
"ASHMORE_1_DROP4_POINT_OCT2021","Ashmore","Ashmore_1","DROP4","POINT","Oct_21","GH010001.MP4",55377,15.3979,"ASH_BRUV4_C11_start",10.2024,"ASHMORE_BRUV4_Cam11","ECM",28,NA,"Aipysurus","laevis",NA,NA,NA,971.3,561.1,0,0,1,"AD","Passing",NA,"ASH_BRUV4_C11_start"
"ASHMORE_3_DROP14_POINT_OCT2021","Ashmore","Ashmore_3","DROP14","POINT","Oct_21","ASHMORE_Drop14_Cam1_01.MP4",51350,14.2782,"ASHMORE_BRUV14_C1_start",10.387,"ASHMORE_BRUV14_C1","ECM",45,NA,"Aipysurus","laevis",NA,NA,NA,826.05,1192.95,0,0,1,"AD","Passing",NA,"ASHMORE_BRUV14_C1_start"
"KENN_KENN_DROP4_MAXN_FEB2021","Kenn","Kenn_1","DROP4","MAXN","Feb_21","KENN_BRUV4_C5_02.MP4",13051,21.2632,"Kenn_BRUV4_Start",17.6343,"KENN_BRUV4_C5","ECM",58,NA,"Aipysurus","laevis",NA,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,"Kenn_BRUV4_Start"
"KENN_KENN_DROP4_POINT_FEB2021","Kenn","Kenn_1","DROP4","POINT","Feb_21","KENN_BRUV4_C5_02.MP4",13051,21.2632,"Kenn_BRUV4_Start",17.6343,"KENN_BRUV4_C5","ECM",58,NA,NA,NA,NA,NA,NA,930.97,445.37,0,0,1,"AD","Passing","Aipysurus laevis","Kenn_BRUV4_Start"
"KENN_KENN_DROP5_MAXN_FEB2021","Kenn","Kenn_1","DROP5","MAXN","Feb_21","KENN_BRUV5_C3_02.MP4",35629,27.5578,"Kenn_BRUV5_start",23.1345,"ENN_BRUV5_C3","ECM",72,NA,"Aipysurus","laevis",NA,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,"Kenn_BRUV5_start"
"KENN_KENN_DROP5_POINT_FEB2021","Kenn","Kenn_1","DROP5","POINT","Feb_21","KENN_BRUV5_C3_02.MP4",35629,27.5578,"Kenn_BRUV5_start",23.1345,"ENN_BRUV5_C3","ECM",72,NA,NA,NA,NA,NA,NA,643.44,1041.53,0,0,1,"AD","Passing","Aipysurus laevis","Kenn_BRUV5_start"
"MARION_MARION_DROP1_POINT_FEB2021","Marion","Marion_1","DROP1","POINT","Feb_21","MARION_BRUV1_C1_04.MP4",12884,56.5187,"MARION_BRUV1_C1",52.4268,"MARION_BRUV1_C1","ECM",37,NA,NA,NA,NA,NA,NA,715.32,755.73,0,0,1,"AD","Passing","Aipysurus laevis","MARION_BRUV1_C1"
"SAUMAREZ_N_DROP3_POINT_FEB2021","Saumarez","Saumarez_N1","DROP3","POINT","Feb_21","SAUM_N_BRUV3_C4_04.MP4",24900,59.8264,"Drop3_start",55.563,"Saum_N_BRUV3_C4","ECM",36,NA,NA,NA,NA,NA,NA,916.95,775.01,0,0,1,"AD","Passing","Aipysurus laevis","Drop3_start"
"WRECK_W_DROP1_POINT_FEB2021","Wreck","Wreck_W1","DROP1","POINT","Feb_21","WRECK_W_BRUV1_C6_02.MP4",62475,35.0058,"WRECK_D1_C6_Start",29.7211,"WRECK_W_BRUV1_C6","ECM",31,NA,NA,"sp",NA,NA,NA,241.95,1825.32,0,0,1,"AD","Passing","Aipysurus laevis","WRECK_D1_C6_Start"
"WRECK_W_DROP5_POINT_FEB2021","Wreck","Wreck_W1","DROP5","POINT","Feb_21","WRECK_W_BRUV5_C5_02.MP4",7592,19.762,"Wreck BRUV5 start",13.8672,"Wreck_BRUV5_Cam5","ECM",65,NA,NA,"sp",NA,NA,NA,911.69,1236.16,0,0,1,"AD","Passing","Aipysurus laevis","Wreck BRUV5 start"
